word,antonym
bagus,jelek
keren,jelek
cakep,jelek
baik,buruk
mantap,kacau
kuat,lemah
bersih,kotor
terbaik,terburuk
cepat,lambat
kenceng,lambat
kencang,lambat
responsif,lemot
lancar,macet
instan,lambat
mudah,sulit
ringan,berat
enteng,berat
efisien,boros
stabil,gagal
inovatif,usang
modern,kuno
aman,risiko
praktis,ribet
membantu,menghambat
bantu,hambat
segera,lambat
sederhana,rumit
terhubung,terputus
optimal,buruk
jelek,bagus
buruk,baik
kacau,mantap
lemah,kuat
kotor,bersih
terburuk,terbaik
lambat,cepat
berat,ringan
boros,efisien
gagal,stabil
usang,inovatif
kuno,modern
risiko,aman
ribet,praktis
menghambat,membantu
hambat,bantu
rumit,sederhana
terputus,terhubung
lemot,responsif
macet,lancar
sulit,mudah